Manufactor,Year,Model,Hand,Gear,Engine_Capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
פיג'ו,2012,107,3,רובוטית,1000,בנזין,פרטית,פרטית,באר שבע והסביבה,נתיבות,13000.0,5,2023-02-28,2023-08-03,"['רכב שמור, חסכוני, ואמין . היה איתי 5 וחצי שנים ונהניתי מכל רגע, מוכר עכב קניית רכב גדול יותר. טסט עד חודש 11.']",אדום,141000,,1258.0
פיג'ו,2017,108,2,רובוטית,1000,בנזין,ליסינג,פרטית,חיפה וחוף הכרמל,חיפה,32500.0,4,2023-02-19,2023-02-19,"['פיג?ו 108 רובוטית 82,000 קמ מערכת מולטימדיה של פיוניר עם CarPlay / android auto צמיגים ברקסים ומצבר חדשים מצלמה וחישיני רברס מוכר עקב מעבר לרכב גדול יותר רכב חסכוני בטירוף']",לבן,83000,,613.0
פיג'ו,2021,3008,1,אוטומטית,1500,דיזל,פרטית,פרטית,באר שבע והסביבה,באר שבע,142500.0,4,2023-02-02,2023-02-13,"[""פיג'ו 3008 Active Hdi אוט' דיזל 1.5,רכב כמו חדש, באחריות עד יולי 2024. מתחייב בבדיקה מנוע גיר שלדה. רכב מפנק , מרווח וחסכוני .בעלות פרטית,""]",אפור מטאלי,12200,,3288.0
פיג'ו,2019,3008,2,אוטומטית,1500,דיזל,ליסינג,פרטית,רעננה - כפר סבא,כפר סבא,112000.0,5,2023-01-28,2023-01-29,"[""רכב שמור, במצב מכני מעולה, קילמוטראז' נמוך. עליה לכביש 9.2019. כל הטיפולים נעשו במוסך פיג'ו. הרכב היה שלי בלבד, תחילה בליסינג פרטי ולאחר מכן קניתי אותו, כך שלא באמת עבר ידיים.""]",אפור,51000,,3355.0
פיג'ו,2014,2008,3,אוטומטית,1600,בנזין,פרטית,פרטית,עמק יזרעאל,מגדל העמק,33000.0,4,2023-01-25,2023-01-25,['2008 Peugeot שחרור 2014 מבחן נובמבר 2023-2024 עדכון מלא לפני המבחן: סוללה חדשה צמיגים חדשים רדיאטור חדש'],אפור מטאלי,148000,147,597.0
פיג'ו,2017,208,2,ידנית,1600,דיזל,פרטית,פרטית,רעננה - כפר סבא,כפר סבא,35000.0,7,2022-11-17,2023-01-13,"['פיגו 208 ,גיר ידני ,טורבו דיזל ,מנוע 1600  שמורה היטב , נהג יחיד , יד 2', 'תוספות מסך מולטימדיה , מראות מתקפלות חשמלית.']",שחור,153000,,1512.0
פיג'ו,2010,207,2,אוטומטית,1600,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,14000.0,4,2022-12-29,2022-12-29,"['רק עם 133,000 קילומטר  במצב מעולה צמיגים חדשים  עם טסט ל11 חודשים רכב שמור חיצונית ופנימית מטופל מספר:0503807470']",לבן,133000,,619.0
פיג'ו,2016,301,1,רובוטית,1200,בנזין,פרטית,פרטית,תל אביב,תל אביב יפו,26000.0,2,2022-08-12,2022-09-12,"['במצב מצוין, יד שניה אבל קיבלנו אפס קילומטרים, מפרטי, רק כ 6000 קמ לשנה! רכב משני של הבית, ללא תאונות או דפיקות פח. מצבר הוחלף לפני שבוע']",לבן,37160,,474.0
פיג'ו,2012,208,3,אוטומטית,1600,בנזין,פרטית,פרטית,רמת השרון - הרצליה,הרצליה,23000.0,2,2022-11-30,2022-11-30,"['פיגו 208 אקטיב 2012 במחיר מציאה ביחס לקילומטרים  כן כן 66,000 קילומטרים אין רכבים כאלה הוחלפו צמיגים ברכב ממש לפני שבוע, צמיגים אירופאים כמובן! 0548044885  רציניים בלבד!', 'תוספות צמיגים חדשים']",לבן,66000,,119.0
פיג'ו,2005,307CC,5,טיפטרוניק,2000,גז,פרטית,פרטית,,רמת מגשימים,33000.0,5,2021-04-07,2022-11-27,"['307CC. רכב מטופל ומושקע באהבה גדולה.קיימת מערכת גז (JGAZ) לחיסכון מירבי.קיים מגבר + סאב מובנה המותאם לרכב זה.קיים טסט עד ל 8.2023.צמיגים חדשים ועוד.רוב השבוע הרכב ברמת הגולן.נמכר עקב הרצון לשדרוג', 'תוספות מערכת גז + מגבר עם סאב מובנה.תקלה יחידה שטרם הספקתי לטפל בה הינה ידית תא כפפות לא תקינה ולכן התא נעול במפתח הרכב קבוע,סליחה מראש']",בורדו,290000,,
פיג'ו,2022,3008,1,אוטומטית,1500,דיזל,אחר,פרטית,נתניה והסביבה,נתניה,160000.0,3,2022-10-31,2022-11-21,['יד ראשונה פרטיט שנת 2022 דיזל 1.5 אקטיב פאק נמצא בנתניה'],אפור עכבר,13000,,2493.0
פיג'ו,2011,508,3,אוטומטית,1600,בנזין,פרטית,פרטית,גדרה יבנה והסביבה,גדרה,22500.0,8,2022-09-19,2022-09-19,"['הרכב חדש לחלוטין כל המכלולים המכניים הוחלפו לחדשים, כולל טיימינג, רדיאטור, בלמים, מכסה שסתומים, טורבו, ועוד... הכל חדש לחלוטין, הרכב פנימית 2022', 'תוספות מובילאיי, מושבים חשמליים, מערכת אנדרואיד יוקרתית בשוויי 2500 שקל.']",אפור,148000,,168.0
פיג'ו,2012,207,2,אוטומטית,1600,בנזין,פרטית,פרטית,עמק יזרעאל,קרית טבעון,17000.0,3,2022-09-14,2022-09-14,"['שמורה ומטופלת', 'תוספות חלונות חשמליים, כריות אוויר, מזגן']",אדום,82000,,671.0
פיג'ו,2012,207,2,אוטומטית,1600,בנזין,פרטית,פרטית,עמק יזרעאל,קרית טבעון,17000.0,5,2022-09-09,2022-09-09,['רכב יפיפה ושמור היטב'],אדום מטאלי,82000,,671.0
פיג'ו,2018,3008,2,אוטומטית,1600,דיזל,פרטית,פרטית,קריות,קרית חיים,112000.0,6,2022-08-27,2022-07-09,['רמת גימור פרימיום מפואר  רכב שמור ומטופל  נקנה מנכה נקי מתאונות מתחייב על גיר מנוע ושלדה  מחיר מחירון לפי לוי יצחק 114 יש גמישות לרציניים'],זהב,63000,,2822.0
פיג'ו,2015,308,2,אוטומטית,1200,בנזין,פרטית,פרטית,כרמיאל והסביבה,כרמיאל,30000.0,4,2022-08-31,2022-08-31,,אפור,120000,,512.0
פיג'ו,2017,308,2,ידנית,1600,בנזין,פרטית,פרטית,חולון - בת ים,חולון,118000.0,4,2022-07-31,2022-07-31,"['רכב שמור ללא תאונות מנהג מבוגר שהחזיק את הרכב 5.5 שנים תמיד בחניה מקורה ,מטופל מהיום הראשון במוסך מורשה היסטוריית טיפולים מלאה כולל כל הקבלות .']",אדום מטאלי,101000,,177.0
פיג'ו,2016,301,2,רובוטית,1200,בנזין,ליסינג,פרטית,בקעת אונו,קרית אונו,19000.0,10,2022-07-24,2022-07-24,"[""רכב שמור מאוד, נמכר עקב קבלת רכב חברה. נהג יחיד, שמור.הרכב זול מאוד לשימור, בשנתיים וחצי שהיה אצלי הוא עבר החלפת כהליים וספארקים, טסט עד אפריל 2023. קילומטראז' כפי שרשום 90K, רכב מושקע!! חיישני רברס, מערכת אודיו עם בלוטוס, מוביל איי. בקיצור זה רכב מאוד זול לתפעול, ללא בעיות, זול בדלק ופשוט.""]",לבן,90000,,474.0
פיג'ו,2019,2008,3,אוטומטית,1100,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,69900.0,1,2022-06-30,2022-01-07,"['בע""ה רכב שמור עבר טיפולים במוסך מורשה נקנה מליסינג 0 ק""מ יד שנייה פרטי ויד שלישית אצלי כחצי שנה ק""מ נמוך נמכר עקב מעבר לרכב קטן לא בשבת']",כסוף,60,,1068.0
פיג'ו,2007,307CC,5,אוטומטית,2000,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,27000.0,5,2022-06-06,2022-06-06,"[""שמעתם על המושג חווית נסיעה?  גג נפתח. אולי כן ובטח חלמתם על זה.  או שאמרתם טוב אני צריך הון לזה, אין לי סיכוי....   למכירה רכב שבאמת מי שיזכה בו יהנה מכל דקה ושניה.  פג'ו 307CC קבריולט גג נפתח צבע שחור קלאסי,  סוג הפרימיום עם מושבי עור מהסוג האיכותי ביותר,  מנורות לדים בפנסים ללא מכות או חבלות!  שמור בקנאות עם כל הטיפולים  הכל עובד פיקס! אני יכול להרחיב עד מחר אבל אתם מוזמנים לבוא ולראות בעצמכם .  אמיר 0584566244 שלו 0584567244  נתראה! האוטו זמין בראשון לציון / רמת גן""]",שחור,170000,,
פיג'ו,1997,106,3,ידנית,1400,בנזין,פרטית,פרטית,אשדוד - אשקלון,אשקלון,3000.0,1,2022-05-19,2022-05-19,"['רכב חמוד, מצב מכני מצוין', 'תוספות מזגן']",אדום,150000,,0.0
פיג'ו,2021,2008,1,אוטומטית,1200,בנזין,פרטית,פרטית,נס ציונה - רחובות,נס ציונה,118800.0,2,2022-05-14,2022-05-14,['הרב במצב מצוין'],לבן,19500,,2382.0
פיג'ו,2019,108,2,אוטומטית,1000,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,40000.0,2,2022-12-04,2022-12-04,"['רכב קומפקטי חסכוני בדלק. מצב מצויין, טסט לשנה לאחר טיפול במוסך מורשה של היצרן. ללא תאונות.']",כסף מטלי,38000,,115.0
פיג'ו,2019,3008,3,אוטומטית,1500,דיזל,פרטית,פרטית,ירושלים והסביבה,ירושלים,104500.0,6,2022-01-31,2022-03-13,"['חסכוני אמין . סולר מנוע 1500 8 הילוכים . מטופל . שני ידים במשפחה .', 'תוספות פנסי לד כמו של הדגם פירמיום']",לבן מטאלי,59000,,3355.0
פיג'ו,2019,3008,1,אוטומטית,1200,בנזין,פרטית,פרטית,מושבים בדרום,אבן שמואל,130000.0,6,2022-02-22,2022-02-22,"['פיגו 3008 דגם פרימיום יד ראשונה  שנת עליה: 9/2019 מנוע:בנזין 1200 טורבו עם 130 כוח סוס הרכב שמור מאוד עם 46000 קמ בלבד מטופל בזמן רק במורשה טסט עד 9/22 עדיין עם אחריות יצרן הרכב כמו חדש', 'תוספות כל מערכות הבטיחות סטיה מנתיב,שטח מת ועוד אפל קאר חימום בכיסאות סאנרוף מושבים חשמלים']",לבן,46500,,3355.0
פיג'ו,2018,3008,1,אוטומטית,1600,בנזין,פרטית,פרטית,גליל ועמקים,הושעיה,110000.0,6,2022-10-01,2022-10-01,"['פיגו 3008 פרימיום גג נפתח, שמור טופל רק במוסך מורשה']",לבן,140000,,2822.0
פיג'ו,2012,RCZ,5,ידנית,1600,בנזין,פרטית,פרטית,נתניה והסביבה,נתניה,70000.0,4,2021-10-31,2021-10-31,"['מוכר את האהבה הגדולה בעקבות קבלת רכב מהעבודה. קכב שהושקע בו המון, עבר טיפול ענק של 100,000 כולל כומיות שסתומי מנוע והחלפת שרשרת טיימינג. עבר טיפול 15,000 לארונה ומטופל ומושקע מכל הלב. יש כמובן היסטוריית טיפולים, הרכב טופל אצל אחד המוסכים הכי בכירים במרכז לטיפול בRCZ. האוטו מגיע כמובן מתנה ללא כל עלות נוספת עם צבע לרכב מקורי עם קוד יצרן וערכת פוליש.']",אפור מטאלי,134000,,79.0
פיג'ו,2003,206,3,ידנית,1400,בנזין,פרטית,פרטית,יישובי השומרון,עמנואל,4000.0,3,2021-10-23,2021-10-23,['רכב פצצה הייתי עושה איתו נסיעות ארוכות לצערי מוכר אותו בגלל פציעה בברך מהצבא ולא יכול לנסוע עם רכב הילוכים אגרת טסט שולמה מחיר 4000 גמיש...  לא בשבת !'],תכלת,230000,,186.0
פיג'ו,2016,301,2,ידנית,1600,בנזין,ליסינג,פרטית,באר שבע והסביבה,אופקים,22000.0,1,2021-10-19,2021-10-19,"['הרכב במצב מצויין.', 'תוספות גאנטים']",כסוף,72800,,474.0
פיג'ו,2017,208,2,אוטומטית,1200,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,54000.0,4,2021-09-19,2021-09-19,"['רכב במצב מצוין, ללא תאונות. מטופל רק במוסך מורשה(צמרת). רק 37,000 ק""מ! טסט לשנה שלמה, צמיגים בני שנה, ג\'אנטים, מולטמדיה וכו\'.. איזור חיפה ותל אביב. מחירון משוקלל 58,000, מוכר ב54,000 וגמיש במחיר.']",אפור,37000,,1512.0
פיג'ו,2012,5008,4,אוטומטית,1600,בנזין,פרטית,ליסינג,אשדוד - אשקלון,אשקלון,15000.0,5,2023-02-22,2023-10-04,"['פיג\'ו 5008 7 מקומות , 1.6 156 כ""ס החל - 860 ש""ח *רכישה באמצעות המחאות (צ\'קים). *עד 100% מימון ב- 24 תשלומים. בלו-סקאי אשקלון Outlet רכבי עבודה החל מ- 19,990 ש""ח כתובתנו צה""ל 50 אשקלון . *כפוף לאישור הגורם המממן התמונה. להמחשה בלבד . ט.ל.ח']",כחול כהה מטאלי,175000,,195.0
פיג'ו,2007,206,3,אוטומטית,1600,בנזין,פרטית,פרטית,באר שבע והסביבה,נתיבות,4500.0,0,2022-11-21,2022-11-21,"[""רכב מצויין. דורש מס' טיפולים, העדפנו לא להשקיע עקב מעבר לרכב 7 מקומות, אם לא היינו צריך להתרחב היינו משקיעים, שווה את המאמץ. ללא טסט.""]",כחול כהה,200000,,200.0
פיג'ו,2018,3008,2,אוטומטית,1600,דיזל,פרטית,פרטית,אשדוד - אשקלון,אשדוד,115000.0,0,2022-10-13,2022-10-13,"['טורבו דיזל 1.6 דגם פרמיום שמורה לחלוטין רכב חסכוני מאודדד', 'תוספות גג פנורמי נפתח כסאות ומראות חשמליים']",אפור מטאלי,101,,2822.0
פיג'ו,2003,307,4,אוטומטית,1600,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,5200.0,0,2022-01-15,2022-01-16,['רכב 170קילומטר שמור פחד מצבר חדש מערכת מולטימדיה חדשה פינוק'],אדום,170,,193.0
